emotion,alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta
1,9755.1,4582.7,2731.2,3263.8,51021.3,590.8,1572.7,17565.3
1,10302.2,4397.9,2562.2,3284.7,50595.9,562.5,1559.5,17548
1,10433.9,4459.1,2695,3107.7,50132.9,569.7,1644.9,17041.7
1,10460.7,4548.8,2483.7,2927.8,53366,571.1,1652.8,20053.6
1,10621.6,4202,2685,3088,55561.8,471.8,1652.8,21141.2
1,11048.8,4264.1,2720.2,2588.2,55326.1,489.4,1610.5,19884.2
1,9329.8,2709.2,1982.9,2387.9,29777.4,384.7,1190.9,15546.5
1,8125.3,2866.4,2032.5,2522.4,29978.6,375.6,1152.4,16213.5
1,9331.2,3180.3,2093.4,2915.2,29015.3,396.2,1154.6,15475.5
1,9632.3,3138.2,2845.8,5679.6,43627.5,780.5,1654.5,29479
1,9341.4,3625.2,2887.4,5933.5,51520.1,813.7,1698.6,28210.6
1,9543.9,3831.6,2879.8,5994.9,52207.2,798,1663.1,28057
1,9167.2,4054.6,2685.9,6028.1,51834.9,840.7,1633.2,30381.3
1,9649.4,4977.7,2727.2,6085.9,52375.3,879.6,1626.5,34649.1
1,8839.4,5357,3069.2,6136,52298.3,934.8,1733.1,34823.3
1,7871.2,5593.4,3096.3,6325.5,52800.2,928.5,1651.6,36478.8
1,7662.6,4934.9,3055.7,6119.3,37749.6,975.3,1508.8,32626.8
1,8531.4,4969,2976,6161,36950.4,962.2,1570,32282.7
1,7108,5162.7,2869.6,5822,37016.2,953,1530.1,33186.5
1,7189.3,4987.1,2169.8,3194.9,23061.7,619.7,1020.6,19556.4
1,6998.4,4976.5,2364.4,2923.8,15391.2,555.1,972.6,19699.7
1,6874.4,4555.5,2477.5,2876.9,14570.7,609.1,931.8,19673.9
1,10386.4,4310.7,2863.9,3224.6,96510.6,684.3,1393.2,20725.5
1,10450.9,3569.1,2637.4,3125.5,94759.2,656.7,1349.2,13785.9
1,10403.6,3799.9,2254.7,3013.4,92652.4,697.5,1241.1,12975.6
1,11358.7,3317.5,2403.5,2794.8,92180.5,665.6,1381.3,10772.8
1,10855.7,3352.6,2449.7,2758.7,90936,631.7,1392.1,11853.2
1,9740.9,3274,2361.4,2583.4,95934.7,614.4,1342.8,12187.4
1,10449.1,2970,2267,2454.1,95829.7,601.5,1302.3,11933.8
1,11372.2,3676.3,2251.3,2415.8,94999.5,557.1,1332.8,11714.8
1,11623.4,4087.6,1999.4,2582.9,94124.6,578.1,1375.2,12643.7
1,15332.7,4669,2471.5,3095.9,173942,617.6,1648.8,19709.2
1,12456.2,4657.4,2187.2,2477,96503.1,510.9,1209.6,17063.5
1,12063.7,4957.7,2190,2470.8,93917.3,502.3,1305.3,16692.9
1,12541.7,5234.7,1971.4,2618.9,94751.4,449.5,1332.3,17596.9
1,11939.1,5489.3,1787.2,2678.8,95212.9,449.9,1228.7,18472.6
1,13572.6,5897.8,1814.6,2943.5,95361.8,443.6,1338,16784.9
1,13896.2,5865.4,1993,3134.4,90685,497.5,1649.1,16455.8
1,13727.7,5838,2029.3,3029.8,100282.9,514.3,1657.3,17119.4
1,13810.5,5942.2,2096.9,2941.6,101908.9,494.8,1663.1,17167.4
1,13243.6,5238.4,2132.7,2807.7,102365.9,532.2,1633.8,15882.7
1,9306.6,6091.6,1622.5,2262.6,24844.5,447.9,1349.4,10050.2
1,8893.9,5929.3,1565.4,2709,21245.3,496.8,1289.8,9014.4
1,9244.3,5839,1511.1,2754.7,21102.8,583.6,1248,8946.6
1,9417.9,5720.1,1683.1,2674.7,20534.9,590.4,1221.6,8172.5
1,8955.7,6156,1759.1,2795.2,20074.1,597.8,1199.5,7972.2
1,7413.1,5933.3,1749.8,2658.2,26292.3,617.8,1075.7,8004.9
1,7323,6017.3,1692.9,2544.8,27037.1,589.2,781.7,8490
1,7211.6,5948.8,1705.5,2553.8,17731.3,616,852.4,8231.5
1,6010.1,5227.3,1819.4,2584.8,16752.7,659.8,791.4,8228.8
1,7437,5920.1,2052.9,2907.9,22587.2,712.3,885.6,11322.6
1,8326.7,4951.1,2084,3061.1,20476,701.4,895.9,10509
1,8819.4,4846.7,2072.7,2953.5,19755.8,650.4,1020.3,10990.2
